# idx	freq_hz
181	12005660
182	12005130
183	12004990
184	12005890
185	12006560
186	12005750
187	12005810
188	12005390
189	12005440
190	12005900
191	12006730
192	12006350
193	12006850
194	12007490
195	12007070
196	12007310
197	12006970
198	12006760
199	12006560
200	12005670
201	12005940
202	12005830
203	12006450
204	12006470
205	12006520
206	12006630
207	12006430
208	12006680
209	12006250
210	12005540
211	12006590
212	12006450
213	12006830
214	12006070
215	12006520
216	12006790
217	12006560
218	12007400
219	12007130
220	12006650
221	12006350
222	12006110
223	12005090
224	12005660
225	12005310
226	12004520
227	12004930
228	12005210
229	12004640
230	12007220
231	12007890
232	12006420
233	12006530
234	12005990
235	12006100
236	12007000
237	12006770
238	12007110
239	12006580
240	12007200
241	12006270
242	12006140
243	12007140
244	12006980
245	12007110
246	12007310
247	12007530
248	12007310
249	12007410
250	12006290
251	12006600
252	12006450
253	12006340
254	12005730
255	12006400
256	12006540
257	12006260
258	12005300
259	12006020
260	12008150
261	12007540
262	12007450
263	12006650
264	12006640
265	12007250
266	12007420
267	12008120
268	12008190
269	12007460
270	12006260
271	12006800
272	12007190
273	12007460
274	12007950
275	12008300
276	12008270
277	12008130
278	12008430
279	12008940
280	12008370
281	12007780
282	12008360
283	12008320
284	12007890
285	12007740
286	12008110
287	12008140
288	12007770
289	12007920
290	12008510
291	12008670
292	12008780
293	12008040
294	12008380
295	12009490
296	12008860
297	12008970
298	12009020
299	12008870
300	12008850
301	12009300
302	12009310
303	12008910
304	12008800
305	12008900
306	12008780
307	12008470
308	12008300
309	12008160
310	12007910
311	12008030
312	12007270
313	12008690
314	12008480
315	12008890
316	12008310
317	12008750
318	12008980
319	12007710
320	12008340
321	12007740
322	12007320
323	12007770
324	12007740
325	12007340
326	12008510
327	12008250
328	12008340
329	12007020
330	12007260
331	12007270
332	12007210
333	12007740
334	12007590
335	12005980
336	12005850
337	12005560
338	12005080
339	12006070
340	12006340
341	12005530
342	12005480
343	12005160
344	12005450
345	12006270
346	12006430
347	12006390
348	12006820
349	12007140
350	12006760
351	12007550
352	12007430
353	12007360
354	12006970
355	12006520
356	12006990
357	12006650
358	12007000
359	12007360
360	12007590
361	12006620
362	12007390
363	12007920
364	12008930
365	12008930
366	12008970
367	12009030
368	12009760
369	12008910
370	12009020
371	12008890
372	12008890
373	12008360
374	12008850
375	12009330
376	12008790
377	12009030
378	12008430
379	12009350
380	12009360
381	12008740
382	12008970
383	12008800
384	12007930
385	12008080
386	12008780
387	12009330
388	12008370
389	12007730
390	12008310
391	12007690
392	12007270
393	12007270
394	12007750
395	12007320
396	12007880
397	12007660
398	12007500
399	12007960
400	12008300
401	12008620
402	12008710
403	12008010
404	12007780
405	12007790
406	12007790
407	12007500
408	12008380
409	12008280
410	12008440
411	12008450
412	12007150
413	12007470
414	12007700
415	12008810
416	12009180
417	12009820
418	12008530
419	12009030
420	12008690
421	12008840
422	12009040
423	12008880
424	12008810
425	12008810
426	12009910
427	12009500
428	12009460
429	12008230
430	12009350
431	12009670
432	12009500
433	12009190
434	12008700
435	12008490
436	12007310
437	12008310
438	12008730
439	12008390
440	12007690
441	12008070
442	12008960
443	12008890
444	12008790
445	12009120
446	12009360
447	12009150
448	12009360
449	12008990
450	12008920
451	12007330
452	12007270
453	12006620
454	12006330
455	12006480
456	12006980
457	12007700
458	12007140
459	12007590
460	12007320
461	12006870
462	12006610
463	12007200
464	12007310
465	12007590
466	12007010
467	12006960
468	12006800
469	12006510
470	12005880
471	12006670
472	12006500
473	12005970
474	12006270
475	12006820
476	12007410
477	12006750
478	12007040
479	12006850
480	12007060
481	12006790
